zone,direction,n_2024,n_2025,pct_volume_change,avg_total_cost_2024,avg_total_cost_2025,avg_distance_2024,avg_distance_2025,low_n_flag
190,pickup,268,345,0.2873,28.75,26.48,4.345,4.163,false
191,dropoff,3825,3555,-0.0706,47.6,46.55,10.724,10.66,false
191,pickup,1406,1125,-0.1999,46.66,44.61,11.21,11.537,false
192,dropoff,1309,1115,-0.1482,43.43,44.12,8.723,8.749,false
192,pickup,232,228,-0.0172,35.45,34.16,7.083,6.952,false
193,dropoff,4906,6059,0.235,32.29,34.11,5.246,5.492,false
193,pickup,1958,1863,-0.0485,26.23,28.77,3.833,4.087,false
194,dropoff,1940,2290,0.1804,38.28,38.27,5.606,5.449,false
194,pickup,554,521,-0.0596,61.41,56.21,6.587,6.178,false
195,dropoff,5655,6080,0.0752,49.23,48.23,9.232,8.962,false
195,pickup,1960,2816,0.4367,57.71,53.96,10.281,9.972,false
196,dropoff,4906,5149,0.0495,42.45,41.94,7.82,8.005,false
196,pickup,991,1168,0.1786,45.2,50.72,6.446,6.855,false
197,dropoff,6212,6509,0.0478,39.06,40.49,7.134,7.355,false
